Table 1
Discr. variable  1;Discr. variable  2;Discr. variable  3;Discr. variable  4;Discr. variable  5;Discr. variable  6;Cont..variable..1;Cont..variable..2;Cont..variable..3;Cont..variable..4;Cont..variable..5;Cont..variable..6;Cont..variable..7;Cont..variable..8;Cont..variable..9;Cont..variable..10;Cont..variable..11;Cont..variable..12
1;3;0;0;1;0;0.681272141357013;0.839077447805536;1.69983005743759;0.780746748496162;1.96541578151637;2.29700727926764;-0.619880718432455;-0.906753499213733;1.71087669087158;1.08077959559049;0.195906427682847;-0.762806743754468
2;1;0;1;1;0;1.46566775108439;1.61968965957666;1.55667639043676;2.19394617317194;1.39640011168314;-0.673437543794627;1.09217169221757;-0.193067552458633;0.17222010864198;0.592126062608752;1.12098751265157;0.0204961362900871
1;1;0;1;1;1;-1.58475962007764;-0.790098241924717;-1.02008961557824;-0.475430517882311;-1.06933445759419;-1.26752650840708;-1.40050565178583;-1.41228104483193;-0.60660606261004;-2.14601873427166;0.000772136322256533;1.69900230781413
2;1;0;0;0;0;1.11704748009445;1.46721468247609;1.91456055793884;1.30415394282053;1.11189227676653;0.910799695171917;0.04542462249372;0.936935196570274;0.0202540264464643;-0.022903384075155;0.058589704132802;-0.0914042751448495
2;1;0;0;1;0;0.50696200586204;2.29920401858373;1.77140689093801;0.51904315133398;0.732548496877706;-0.574422716359218;1.7308648195067;-1.11491190035064;0.789582317561265;1.26613093568701;-0.136544587227789;1.25140066207439
2;1;0;0;0;0;-0.27743360386534;-0.586242746233727;-0.87693594857741;-1.31288202880129;-1.3538422925108;0.514740385430281;-0.886002854802925;0.40167073650395;-0.711082744119457;-0.958085145471234;-0.52681316994897;0.24429695915996
2;1;0;1;1;0;0.594117073609527;0.754553736892983;-0.626417031325952;-0.789474834476929;-0.0261390628999335;-0.277378234052991;0.497832254323519;0.342196907607691;-0.302673898219008;0.103472529627017;0.109180075967029;-0.0914042751448495
2;1;0;0;1;0;1.37851268333691;0.109844057497885;-0.912724365327618;3.39778272011798;1.49123605665534;0.0196662482532361;0.746212914935957;-0.728332012524959;0.789582317561265;0.288823869723537;2.66038025560734;-0.986607566624341
2;1;0;0;0;0;1.11704748009445;0.262320731725405;0.232504970679049;0.833087467928598;0.0686968820722714;-0.277378234052991;0.04542462249372;0.342196907607691;-0.464137860551743;-0.182979541431241;-0.150998979180425;-1.09850797805928
2;2;0;1;1;0;-0.190278536117853;0.41479570882597;-0.0895907800728264;-0.266067640152565;0.353204716988886;-0.178363406617582;0.861532507363162;-0.817542755869346;-0.0367332543768543;0.41519978342571;0.0152265282748926;-0.315205098014723
