estimator,col,rel_bias
mice_rf,X,0.0
mice_rf,14,-10.899405831773297
mice_br,X,0.0
mice_br,14,19.1330588649862
knn,X,0.0
knn,14,34.23440882927567
mice_rf,X,0.0
mice_rf,14,-30.572615124145322
mice_br,X,0.0
mice_br,14,-2.955925664901372
knn,X,0.0
knn,14,6.476178909014053
mice_rf,X,0.0
mice_rf,14,-81.08472309358962
mice_br,X,0.0
mice_br,14,-39.307959973377464
knn,X,0.0
knn,14,-3.577282568516577
mice_rf,X,0.0
mice_rf,14,-1.8866794460878227
mice_br,X,0.0
mice_br,14,-5.557925816667327
knn,X,0.0
knn,14,17.782616042667662
mice_rf,X,0.0
mice_rf,14,-5.9476276869919245
mice_br,X,0.0
mice_br,14,21.94279211140454
knn,X,0.0
knn,14,21.37719807783691
mice_rf,X,0.0
mice_rf,14,-47.6716620408994
mice_br,X,0.0
mice_br,14,-17.722933403962223
knn,X,0.0
knn,14,-0.9341711992396142
mice_rf,X,0.0
mice_rf,14,-44.35151439263957
mice_br,X,0.0
mice_br,14,-12.761016965890462
knn,X,0.0
knn,14,8.057844431536136
mice_rf,X,0.0
mice_rf,14,-17.572382386139505
mice_br,X,0.0
mice_br,14,15.738773615556433
knn,X,0.0
knn,14,15.773406558588864
mice_rf,X,0.0
mice_rf,14,-34.03463124210945
mice_br,X,0.0
mice_br,14,1.1196119765787307
knn,X,0.0
knn,14,38.7829328827161
mice_rf,X,0.0
mice_rf,14,-45.02491990897059
mice_br,X,0.0
mice_br,14,-0.7570470917637426
knn,X,0.0
knn,14,23.198584781116157
mice_rf,X,0.0
mice_rf,14,-57.7787680176423
mice_br,X,0.0
mice_br,14,-46.33852647181924
knn,X,0.0
knn,14,-14.18679833130897
mice_rf,X,0.0
mice_rf,14,-40.89900655203867
mice_br,X,0.0
mice_br,14,-14.476071514196065
knn,X,0.0
knn,14,14.966510006864773
mice_rf,X,0.0
mice_rf,14,-16.623294963640184
mice_br,X,0.0
mice_br,14,3.14454782520181
knn,X,0.0
knn,14,25.663758779109433
mice_rf,X,0.0
mice_rf,14,-42.413189029727505
mice_br,X,0.0
mice_br,14,-10.790073224644399
knn,X,0.0
knn,14,11.26565981940108
mice_rf,X,0.0
mice_rf,14,-71.3188930689016
mice_br,X,0.0
mice_br,14,-23.47568206615924
knn,X,0.0
knn,14,-11.598056714368676
mice_rf,X,0.0
mice_rf,14,-13.356979271600483
mice_br,X,0.0
mice_br,14,-1.3358522550716028
knn,X,0.0
knn,14,16.626023129323357
mice_rf,X,0.0
mice_rf,14,-56.26792941771638
mice_br,X,0.0
mice_br,14,-12.863190633653065
knn,X,0.0
knn,14,-11.321265247927272
mice_rf,X,0.0
mice_rf,14,-48.21112757428665
mice_br,X,0.0
mice_br,14,-7.922607223582516
knn,X,0.0
knn,14,1.4976395416380113
mice_rf,X,0.0
mice_rf,14,-57.982820139084005
mice_br,X,0.0
mice_br,14,-20.59076226540044
knn,X,0.0
knn,14,1.51370333210114
mice_rf,X,0.0
mice_rf,14,-49.0939668949322
mice_br,X,0.0
mice_br,14,-2.724165685830129
knn,X,0.0
knn,14,20.352822516765954
