estimator,col,rel_bias
mice_rf,13,2.0176629487623625
mice_br,13,1.0438178233196602
knn,13,3.558987231079543
mice_rf,13,2.622290094759835
mice_br,13,-2.4879803946348655
knn,13,2.8541622470710393
mice_rf,13,-2.7445827822792186
mice_br,13,-2.491562256549139
knn,13,1.7840408735011204
mice_rf,13,2.5551939355343465
mice_br,13,0.04150717885408706
knn,13,0.14475437843616046
mice_rf,13,-3.868471882300461
mice_br,13,-0.8249726533612515
knn,13,3.9591459316779405
mice_rf,13,3.9836487826167417
mice_br,13,1.0720217483972556
knn,13,1.2277596495632146
mice_rf,13,3.234652024294234
mice_br,13,2.8249274075282718
knn,13,4.507848392346932
mice_rf,13,3.302032810181907
mice_br,13,-0.6651396899325613
knn,13,3.6787316907283074
mice_rf,13,4.118480181279491
mice_br,13,3.585712030810633
knn,13,6.538956948414471
mice_rf,13,3.956681973501447
mice_br,13,2.131960493381304
knn,13,5.208883994720982
mice_rf,13,0.7903817954918608
mice_br,13,-3.2434517128231466
knn,13,-0.685878075836242
mice_rf,13,-1.5239564878788272
mice_br,13,-1.6754820485299904
knn,13,2.1440321287742794
mice_rf,13,6.326253976635854
mice_br,13,3.3507324629455164
knn,13,6.587461033335474
mice_rf,13,1.3008706017350686
mice_br,13,-3.2936248854865577
knn,13,-1.873470280074248
mice_rf,13,2.5932809189812103
mice_br,13,-1.0184187199092916
knn,13,3.0489364630819997
mice_rf,13,-1.744971456022451
mice_br,13,-2.4561973929019825
knn,13,-1.9954883687036715
mice_rf,13,2.601199296916839
mice_br,13,-4.241684942101882
knn,13,0.1417228731285909
mice_rf,13,5.157236753349917
mice_br,13,2.7026534624230574
knn,13,5.324081196408387
mice_rf,13,-0.20575363899748145
mice_br,13,-3.0625997130366835
knn,13,0.8647368889824933
mice_rf,13,9.734918148873088
mice_br,13,7.208038755127204
knn,13,10.550396346647869
