dist,estimator,col,rel_bias
norm,ice_rf,X,-0.0014832716756013609
norm,ice_rf,X^2,-0.0017668359057102512
norm,mice_rf,X,-0.0013017181586296722
norm,mice_rf,X^2,-0.0029142431517424905
norm,knn,X,-0.002263569363630147
norm,knn,X^2,-0.006526138974635276
norm,ice_rf,X,-0.0022835727372987336
norm,ice_rf,X^2,-0.007203499137266367
norm,mice_rf,X,-0.002460921242985359
norm,mice_rf,X^2,-0.00661349857654836
norm,knn,X,-0.00296637393780097
norm,knn,X^2,-0.008563670890728181
norm,ice_rf,X,-0.00038670317021216594
norm,ice_rf,X^2,-6.54110299841415e-05
norm,mice_rf,X,-0.00039177822531044626
norm,mice_rf,X^2,-0.0006929551255380195
norm,knn,X,-0.0008837461868674845
norm,knn,X^2,-0.0026957759398449355
norm,ice_rf,X,-0.003669618336525682
norm,ice_rf,X^2,-0.010778867734123065
norm,mice_rf,X,-0.0037698689938088226
norm,mice_rf,X^2,-0.011016836978676836
norm,knn,X,-0.00390757298338007
norm,knn,X^2,-0.011444298021797139
norm,ice_rf,X,-0.0011741580314953426
norm,ice_rf,X^2,-0.003800798645371528
norm,mice_rf,X,-0.001329118990323841
norm,mice_rf,X^2,-0.004203004091179463
norm,knn,X,-0.004363790518679633
norm,knn,X^2,-0.012591000468830882
norm,ice_rf,X,-0.0003648048830861006
norm,ice_rf,X^2,-0.0005920892815541867
norm,mice_rf,X,-0.0007499053521629051
norm,mice_rf,X^2,-0.0009902516627359192
norm,knn,X,-0.0013668477851653815
norm,knn,X^2,-0.003764753335745774
norm,ice_rf,X,-0.002242300324925117
norm,ice_rf,X^2,-0.007105009681399488
norm,mice_rf,X,-0.0021857078984767186
norm,mice_rf,X^2,-0.006723750831546971
norm,knn,X,-0.002447265795978981
norm,knn,X^2,-0.00717744181455382
norm,ice_rf,X,-0.003567912043542232
norm,ice_rf,X^2,-0.011026617369067182
norm,mice_rf,X,-0.003996301568677141
norm,mice_rf,X^2,-0.012589386490558074
norm,knn,X,-0.005100679823100807
norm,knn,X^2,-0.014789486418042563
norm,ice_rf,X,-0.0021674183544697634
norm,ice_rf,X^2,-0.005256349909511515
norm,mice_rf,X,-0.002081054289907347
norm,mice_rf,X^2,-0.00504004027065974
norm,knn,X,-0.0031997736055877635
norm,knn,X^2,-0.009442151537060739
norm,ice_rf,X,-0.0028442719436436725
norm,ice_rf,X^2,-0.0071963363393025
norm,mice_rf,X,-0.0029559211832962395
norm,mice_rf,X^2,-0.006889404926802234
norm,knn,X,-0.0028846977922338812
norm,knn,X^2,-0.008444356868794856
norm,ice_rf,X,-0.0024216471347495716
norm,ice_rf,X^2,-0.0037120576443842035
norm,mice_rf,X,-0.0022133951963131393
norm,mice_rf,X^2,-0.0049418508986494025
norm,knn,X,-0.0022664370832014002
norm,knn,X^2,-0.006513230209611365
norm,ice_rf,X,-0.0028103997989371576
norm,ice_rf,X^2,-0.007313314146118688
norm,mice_rf,X,-0.002781371573155389
norm,mice_rf,X^2,-0.007753870146794628
norm,knn,X,-0.003128872391612081
norm,knn,X^2,-0.008729854026276351
norm,ice_rf,X,-0.0017613111208821808
norm,ice_rf,X^2,-0.0040323751400748176
norm,mice_rf,X,-0.001129455271089319
norm,mice_rf,X^2,-0.0028080915777011217
norm,knn,X,-0.0012489550473975264
norm,knn,X^2,-0.0035797823504079007
norm,ice_rf,X,-0.0009956934328217981
norm,ice_rf,X^2,-0.003657851867280404
norm,mice_rf,X,-0.0011907826211159378
norm,mice_rf,X^2,-0.0031461843889231123
norm,knn,X,-0.002242368524760563
norm,knn,X^2,-0.006345992216050367
norm,ice_rf,X,-0.0005488090720829897
norm,ice_rf,X^2,-0.003383682476533645
norm,mice_rf,X,-0.0006457397276746768
norm,mice_rf,X^2,-0.002932338756509223
norm,knn,X,-0.002238441365928101
norm,knn,X^2,-0.006737201703995943
norm,ice_rf,X,-0.0003066971727694323
norm,ice_rf,X^2,-0.0017295593501793771
norm,mice_rf,X,-0.0004215224045366339
norm,mice_rf,X^2,-0.0017678531112806928
norm,knn,X,-0.0008153115401948741
norm,knn,X^2,-0.0033228116336410096
norm,ice_rf,X,-0.0002384894746237931
norm,ice_rf,X^2,-0.0003850905773494784
norm,mice_rf,X,-0.0003958908446776155
norm,mice_rf,X^2,-0.000978039838351763
norm,knn,X,-0.0007512305855219559
norm,knn,X^2,-0.002119164791313688
norm,ice_rf,X,-0.0005177354349945595
norm,ice_rf,X^2,-0.001306062246435924
norm,mice_rf,X,-0.0004654786677764644
norm,mice_rf,X^2,-0.002167226917657805
norm,knn,X,-0.0013650555794183505
norm,knn,X^2,-0.0038049868461781378
norm,ice_rf,X,-0.00213797077600153
norm,ice_rf,X^2,-0.005322641731952071
norm,mice_rf,X,-0.0019011065967039498
norm,mice_rf,X^2,-0.005184499605335402
norm,knn,X,-0.0029853466699901743
norm,knn,X^2,-0.008437111507908601
norm,ice_rf,X,-0.001197535384688031
norm,ice_rf,X^2,-0.003909576123090286
norm,mice_rf,X,-0.0012191082485675242
norm,mice_rf,X^2,-0.0034903952255074255
norm,knn,X,-0.0026463999463799404
norm,knn,X^2,-0.007756061359549982
norm,ice_rf,X,-0.0016408483959567954
norm,ice_rf,X^2,-0.006914191222411881
norm,mice_rf,X,-0.0019922202463498184
norm,mice_rf,X^2,-0.006363639408231481
norm,knn,X,-0.0037988596549379805
norm,knn,X^2,-0.01082958314539384
norm,ice_rf,X,-0.002189625734639211
norm,ice_rf,X^2,-0.007364192932013847
norm,mice_rf,X,-0.002191778936754818
norm,mice_rf,X^2,-0.006927044221847867
norm,knn,X,-0.0024444410905227754
norm,knn,X^2,-0.007496738544947035
norm,ice_rf,X,-0.0018987515252086862
norm,ice_rf,X^2,-0.007173611286486303
norm,mice_rf,X,-0.001773039995362602
norm,mice_rf,X^2,-0.0059589469134285755
norm,knn,X,-0.0028121766637316803
norm,knn,X^2,-0.007767187173808643
norm,ice_rf,X,-0.0011839434755644973
norm,ice_rf,X^2,-0.0023404777793094578
norm,mice_rf,X,-0.001364632752233863
norm,mice_rf,X^2,-0.003310949240572403
norm,knn,X,-0.001365156493663866
norm,knn,X^2,-0.003947939906106868
norm,ice_rf,X,-0.0038141569000005315
norm,ice_rf,X^2,-0.010199782690605508
norm,mice_rf,X,-0.0042307050323980855
norm,mice_rf,X^2,-0.011273751076396832
norm,knn,X,-0.0039026119550850114
norm,knn,X^2,-0.011347592551589791
norm,ice_rf,X,-0.0012620469740098894
norm,ice_rf,X^2,-0.00320158780531532
norm,mice_rf,X,-0.0009813641767584258
norm,mice_rf,X^2,-0.0025237849752869357
norm,knn,X,-0.001386660258160033
norm,knn,X^2,-0.003896134486052971
norm,ice_rf,X,-0.00223499433782659
norm,ice_rf,X^2,-0.006715989432789948
norm,mice_rf,X,-0.002330778423290991
norm,mice_rf,X^2,-0.0069843525586466
norm,knn,X,-0.0034626601754443875
norm,knn,X^2,-0.010457432910312314
norm,ice_rf,X,-0.0005413912266158949
norm,ice_rf,X^2,-0.0016891575879074416
norm,mice_rf,X,-0.0005522428965215598
norm,mice_rf,X^2,-0.0018429146267330276
norm,knn,X,-0.001931799834684278
norm,knn,X^2,-0.005468685833403764
norm,ice_rf,X,-0.002585519717637208
norm,ice_rf,X^2,-0.007728027258879444
