estimator,col,rel_bias
mice_rf,12,-20.462348701550848
mice_br,12,-8.252509480649332
knn,12,-9.201445065596273
mice_rf,12,-6.311747086802
mice_br,12,8.4528771318088
knn,12,5.577031772340922
mice_rf,12,-16.42114819766165
mice_br,12,-0.08403200011181589
knn,12,-4.1944748152938125
mice_rf,12,-22.36385374395312
mice_br,12,-7.186027953795994
knn,12,-18.35976739613063
mice_rf,12,-4.402053225796147
mice_br,12,8.488443202181415
knn,12,6.857566648875535
mice_rf,12,4.600973627250453
mice_br,12,12.55393413822622
knn,12,16.41819254431712
mice_rf,12,2.944752215714788
mice_br,12,11.953278757351677
knn,12,9.034212995478006
mice_rf,12,-25.481931134359293
mice_br,12,-10.716932400048062
knn,12,-7.179409500801324
mice_rf,12,-10.73603476728025
mice_br,12,2.4765045134239347
knn,12,-4.79083068797978
mice_rf,12,-8.42837060795046
mice_br,12,2.9561400061033347
knn,12,-2.4432710621683817
mice_rf,12,-17.20713958951136
mice_br,12,0.3757865473128741
knn,12,-4.684601511363756
mice_rf,12,-12.340287844794462
mice_br,12,-9.738690957907329
knn,12,-11.796171587494452
mice_rf,12,-11.642182742644978
mice_br,12,10.311841234434059
knn,12,4.10822934516991
mice_rf,12,-13.837370489941218
mice_br,12,-3.7362082166225026
knn,12,-7.170995308594101
mice_rf,12,-8.193244829751102
mice_br,12,5.554420827631786
knn,12,2.502696294631794
mice_rf,12,-40.37446962120664
mice_br,12,-26.09211023633743
knn,12,-24.268107986630405
mice_rf,12,-25.695631924095224
mice_br,12,-0.8353496936928531
knn,12,-4.755070371099138
mice_rf,12,-11.75834803751972
mice_br,12,-1.1668592520560366
knn,12,-2.7372419024077574
mice_rf,12,-6.764829034080733
mice_br,12,4.204142945781435
knn,12,-1.8095772115629312
mice_rf,12,-5.749685609736242
mice_br,12,4.049106546630248
knn,12,1.7022962609210377
