"estimator","col","res"
"missForest","X13",1.05761641417621
"rfcont10","X13",-2.11414186097796
"micePMM","X13",-10.7315287887748
"missForest","X13",-2.79473211177067
"rfcont10","X13",5.76438124144303
"micePMM","X13",-1.39828182311366
"missForest","X13",-2.0018040047611
"rfcont10","X13",0.87799787319287
"micePMM","X13",-2.034897937702
"missForest","X13",3.18997303709234
"rfcont10","X13",0.629954246274213
"micePMM","X13",-3.83106483243336
"missForest","X13",2.60851558261752
"rfcont10","X13",0.161219063346727
"micePMM","X13",-0.287993004218538
"missForest","X13",7.66629798466464
"rfcont10","X13",2.65444151496994
"micePMM","X13",4.18347732443762
"missForest","X13",5.58627482733234
"rfcont10","X13",2.51251220219252
"micePMM","X13",2.12205371529445
"missForest","X13",1.46312445851523
"rfcont10","X13",-4.50531433408386
"micePMM","X13",2.15994753163899
"missForest","X13",-1.30505040363396
"rfcont10","X13",-0.490130928391519
"micePMM","X13",2.00079350299191
"missForest","X13",6.30280268495526
"rfcont10","X13",3.96291099999572
"micePMM","X13",2.80414240949623
"missForest","X13",1.57006712387559
"rfcont10","X13",-0.0399483096181618
"micePMM","X13",-0.784401998332051
"missForest","X13",-0.879789154919338
"rfcont10","X13",-1.29512282133229
"micePMM","X13",0.200837226626087
"missForest","X13",3.27331838093015
"rfcont10","X13",0.990416288399981
"micePMM","X13",-3.51654615677365
"missForest","X13",-5.36826538626612
"rfcont10","X13",-3.18496138625211
"micePMM","X13",-7.96906957725754
"missForest","X13",0.31672914827981
"rfcont10","X13",-0.899346340105714
"micePMM","X13",-1.70901111713891
"missForest","X13",0.216626316769646
"rfcont10","X13",-2.27072516336946
"micePMM","X13",-2.53509631344996
"missForest","X13",-1.37792021246453
"rfcont10","X13",-5.55540568849521
"micePMM","X13",-2.85340437074414
"missForest","X13",-2.57155016477342
"rfcont10","X13",3.85135425146184
"micePMM","X13",0.871557775924504
"missForest","X13",-0.700846133292335
"rfcont10","X13",-1.03511354878907
"micePMM","X13",-1.7355367885801
"missForest","X13",-0.865924228561284
"rfcont10","X13",-1.38349052375927
"micePMM","X13",-2.24331392759699
