"dist","estimator","col","res"
"norm","missForest","X",0.958744906432677
"norm","missForest","XZ",2.78838901496651
"norm","rfcont10","X",0.347741394695961
"norm","rfcont10","XZ",0.568221158275189
"norm","micePMM","X",-0.181000891636776
"norm","micePMM","XZ",0.538446910470229
"norm","missForest","X",2.74993110066307
"norm","missForest","XZ",-4.79227511059097
"norm","rfcont10","X",-0.809709067898434
"norm","rfcont10","XZ",1.21124003397453
"norm","micePMM","X",0.257548731549227
"norm","micePMM","XZ",-1.74800466779226
"norm","missForest","X",0.552148679338083
"norm","missForest","XZ",0.929542539187238
"norm","rfcont10","X",-0.238973918718488
"norm","rfcont10","XZ",-0.528322055147996
"norm","micePMM","X",0.127872548980553
"norm","micePMM","XZ",0.45814368767064
"norm","missForest","X",0.411754057849986
"norm","missForest","XZ",0.697557716100533
"norm","rfcont10","X",-0.129785581145427
"norm","rfcont10","XZ",-0.367696580407036
"norm","micePMM","X",0.155137421758958
"norm","micePMM","XZ",0.395704548114637
"norm","missForest","X",1.05378774334226
"norm","missForest","XZ",2.67744264059312
"norm","rfcont10","X",0.390335739901994
"norm","rfcont10","XZ",0.270526246184784
"norm","micePMM","X",0.561936077614639
"norm","micePMM","XZ",1.71938473889909
"norm","missForest","X",1.05411973578542
"norm","missForest","XZ",1.81097422651178
"norm","rfcont10","X",-0.198021340488827
"norm","rfcont10","XZ",-0.691193607266594
"norm","micePMM","X",0.262684865446133
"norm","micePMM","XZ",0.776859910277689
"norm","missForest","X",0.469380864862262
"norm","missForest","XZ",1.69092445938011
"norm","rfcont10","X",0.297405565929223
"norm","rfcont10","XZ",0.570357896052597
"norm","micePMM","X",-0.00898892652684605
"norm","micePMM","XZ",0.794405306289583
"norm","missForest","X",1.73088712319227
"norm","missForest","XZ",2.97778037885271
"norm","rfcont10","X",0.396361455324425
"norm","rfcont10","XZ",0.307653855969096
"norm","micePMM","X",0.203626517720999
"norm","micePMM","XZ",0.816575833810156
"norm","missForest","X",1.04707361086023
"norm","missForest","XZ",1.59453856939752
"norm","rfcont10","X",0.0103151364714639
"norm","rfcont10","XZ",-0.836932348785874
"norm","micePMM","X",9.0098506324528e-05
"norm","micePMM","XZ",0.138428857190992
"norm","missForest","X",1.199141491612
"norm","missForest","XZ",4.27654567795195
"norm","rfcont10","X",-0.705204978588863
"norm","rfcont10","XZ",-1.62810131511068
"norm","micePMM","X",-0.215231353569873
"norm","micePMM","XZ",0.906566982105798
"norm","missForest","X",0.740956455340073
"norm","missForest","XZ",1.19764551614692
"norm","rfcont10","X",0.271335295108311
"norm","rfcont10","XZ",0.314940017068959
"norm","micePMM","X",0.0349515660996458
"norm","micePMM","XZ",0.468787412902723
"norm","missForest","X",0.662212851787844
"norm","missForest","XZ",1.52245831114758
"norm","rfcont10","X",0.292574031413724
"norm","rfcont10","XZ",0.284272538592076
"norm","micePMM","X",0.244652406917594
"norm","micePMM","XZ",0.800221765654308
"norm","missForest","X",0.460828622495901
"norm","missForest","XZ",0.71544273887884
"norm","rfcont10","X",0.214040027205044
"norm","rfcont10","XZ",0.135247446476579
"norm","micePMM","X",-0.00826649030473026
"norm","micePMM","XZ",0.230542859534022
"norm","missForest","X",0.546464418246478
"norm","missForest","XZ",0.805139116478601
"norm","rfcont10","X",-0.178401491692772
"norm","rfcont10","XZ",-0.406184586528746
"norm","micePMM","X",0.0496110084685635
"norm","micePMM","XZ",0.142509066563631
"norm","missForest","X",0.499675709587484
"norm","missForest","XZ",1.79086889490539
"norm","rfcont10","X",-0.142293041660856
"norm","rfcont10","XZ",0.0227819136612527
"norm","micePMM","X",-0.101787178537812
"norm","micePMM","XZ",0.474011049877495
"norm","missForest","X",0.346729929730271
"norm","missForest","XZ",0.576472662163967
"norm","rfcont10","X",-0.302144346917837
"norm","rfcont10","XZ",-0.894471080178213
"norm","micePMM","X",-0.162413122024699
"norm","micePMM","XZ",0.151944927271826
"norm","missForest","X",1.00944877669586
"norm","missForest","XZ",2.10100026493305
"norm","rfcont10","X",0.120417340050311
"norm","rfcont10","XZ",-0.278003434018854
"norm","micePMM","X",0.565661904866686
"norm","micePMM","XZ",1.7784807701198
"norm","missForest","X",0.621027465650329
"norm","missForest","XZ",1.01200388500867
"norm","rfcont10","X",-0.0636035091961309
"norm","rfcont10","XZ",-0.195000362083102
"norm","micePMM","X",0.00876966217713774
"norm","micePMM","XZ",0.136243838139929
"norm","missForest","X",0.701428358260341
"norm","missForest","XZ",1.36667423690701
"norm","rfcont10","X",0.373613202330264
"norm","rfcont10","XZ",0.287207040889228
"norm","micePMM","X",0.519436451818894
"norm","micePMM","XZ",1.01210548510362
"norm","missForest","X",0.391426193062241
"norm","missForest","XZ",1.71462761419853
"norm","rfcont10","X",0.0113762020218881
"norm","rfcont10","XZ",-0.271951961298722
"norm","micePMM","X",0.232135145687409
"norm","micePMM","XZ",1.01623674753855
"norm","missForest","X",0.603876180443484
"norm","missForest","XZ",1.07104801144782
"norm","rfcont10","X",-0.0250137278751722
"norm","rfcont10","XZ",-0.241787731623018
"norm","micePMM","X",-0.0253135435517124
"norm","micePMM","XZ",0.203297390247505
"norm","missForest","X",0.804491824799425
"norm","missForest","XZ",1.43356237257883
"norm","rfcont10","X",0.127182784270941
"norm","rfcont10","XZ",-0.129723725059503
"norm","micePMM","X",-0.0391841269494174
"norm","micePMM","XZ",0.158312291506374
"norm","missForest","X",1.46863460620715
"norm","missForest","XZ",2.52840718455816
"norm","rfcont10","X",0.0770201034578555
"norm","rfcont10","XZ",-0.0148552240247123
"norm","micePMM","X",0.463176222395436
"norm","micePMM","XZ",1.09672253234
"norm","missForest","X",0.762333033632009
"norm","missForest","XZ",1.37723886991502
"norm","rfcont10","X",-0.165440628760696
"norm","rfcont10","XZ",-1.74011759686943
"norm","micePMM","X",-0.0878217687971789
"norm","micePMM","XZ",0.0567462244426224
"norm","missForest","X",1.47588647373804
"norm","missForest","XZ",2.47873522338209
"norm","rfcont10","X",0.702776483376492
"norm","rfcont10","XZ",0.845272118026371
"norm","micePMM","X",0.530975179514367
"norm","micePMM","XZ",1.02983905516162
"norm","missForest","X",1.0984272617538
"norm","missForest","XZ",1.844283291773
"norm","rfcont10","X",0.145564686543786
"norm","rfcont10","XZ",-0.0641606966191096
"norm","micePMM","X",0.185811000023381
"norm","micePMM","XZ",0.836961886028791
"norm","missForest","X",0.89464131851192
"norm","missForest","XZ",1.79320513833895
"norm","rfcont10","X",-0.121251767694262
"norm","rfcont10","XZ",-0.625162867628076
"norm","micePMM","X",0.380358754681637
"norm","micePMM","XZ",0.933934372737287
"norm","missForest","X",1.41462152904294
"norm","missForest","XZ",3.20110719732822
"norm","rfcont10","X",0.186970222445521
"norm","rfcont10","XZ",-0.132912654573055
"norm","micePMM","X",0.312540876060243
"norm","micePMM","XZ",1.26716929039247
"norm","missForest","X",0.934975705468703
"norm","missForest","XZ",1.43819576763667
"norm","rfcont10","X",0.332704934756314
"norm","rfcont10","XZ",-0.0237636629723474
"norm","micePMM","X",0.56798578365046
"norm","micePMM","XZ",1.27343054236335
"norm","missForest","X",0.63245165646998
"norm","missForest","XZ",1.39546417906303
"norm","rfcont10","X",-0.0262945785928712
"norm","rfcont10","XZ",-0.0720262837742877
"norm","micePMM","X",-0.00925794402481479
"norm","micePMM","XZ",0.388277375445107
"norm","missForest","X",1.31205350453078
