"dist","estimator","col","nrmse"
"norm","missForest","X",0.583142247163784
"norm","rfcont10","X",0.534624588985579
"norm","micePMM","X",0.612389427417668
"norm","missForest","X",0.549669769363308
"norm","rfcont10","X",0.535154876408418
"norm","micePMM","X",0.478803766109789
"norm","missForest","X",0.650285977325454
"norm","rfcont10","X",0.546776233133354
"norm","micePMM","X",0.532830005602012
"norm","missForest","X",0.60004499548962
"norm","rfcont10","X",0.566429161753032
"norm","micePMM","X",0.54072854440433
"norm","missForest","X",0.5705292608241
"norm","rfcont10","X",0.565006033559681
"norm","micePMM","X",0.593292348376213
"norm","missForest","X",0.564002230187437
"norm","rfcont10","X",0.555932935578456
"norm","micePMM","X",0.538218511740924
"norm","missForest","X",0.627611887190446
"norm","rfcont10","X",0.551508561852573
"norm","micePMM","X",0.540512120697207
"norm","missForest","X",0.599586421224174
"norm","rfcont10","X",0.616115224773874
"norm","micePMM","X",0.592617829424783
"norm","missForest","X",0.576913719092196
"norm","rfcont10","X",0.556687812323653
"norm","micePMM","X",0.540940605222595
"norm","missForest","X",0.623593564185778
"norm","rfcont10","X",0.588512554664019
"norm","micePMM","X",0.562193118510786
"norm","missForest","X",0.64788661398209
"norm","rfcont10","X",0.599595828551189
"norm","micePMM","X",0.625855035213117
"norm","missForest","X",0.763324959511328
"norm","rfcont10","X",0.611072342341562
"norm","micePMM","X",0.569162979766239
"norm","missForest","X",0.628872088219272
"norm","rfcont10","X",0.59449220679178
"norm","micePMM","X",0.562394658790447
"norm","missForest","X",0.651026445605143
"norm","rfcont10","X",0.578742447229692
"norm","micePMM","X",0.492302115816239
"norm","missForest","X",0.616124947861556
"norm","rfcont10","X",0.572035733838884
"norm","micePMM","X",0.538563494067136
"norm","missForest","X",0.590497272779331
"norm","rfcont10","X",0.540197758347576
"norm","micePMM","X",0.555946441065908
"norm","missForest","X",0.677992578520935
"norm","rfcont10","X",0.602809870581426
"norm","micePMM","X",0.580166232568348
"norm","missForest","X",0.646382202228283
