"","dist","estimator","col","relb_coef"
"105","norm_mix1","rfcont10","X",0.217400692530983
"106","norm_mix1","rfcont10","XZ",0.0964045909119014
"107","norm_mix1","micePMM","X",0.835134780162312
"108","norm_mix1","micePMM","XZ",-0.460333000425645
"109","norm_mix1","missForest","X",-0.331945202654464
"110","norm_mix1","missForest","XZ",0.136748968290983
"111","norm_mix1","rfcont10","X",0.576895256007469
"112","norm_mix1","rfcont10","XZ",-0.0292171034329145
"113","norm_mix1","micePMM","X",0.701715395546795
"114","norm_mix1","micePMM","XZ",-0.378594049355163
"115","norm_mix1","missForest","X",-0.204896023601488
"116","norm_mix1","missForest","XZ",0.0717664707729629
"117","norm_mix1","rfcont10","X",0.193569046975612
"118","norm_mix1","rfcont10","XZ",0.0359215851021804
"119","norm_mix1","micePMM","X",0.816657636984699
"120","norm_mix1","micePMM","XZ",-0.46213000495153
"121","norm_mix1","missForest","X",-0.163988630692706
"122","norm_mix1","missForest","XZ",0.0689874625563522
"123","norm_mix1","rfcont10","X",-0.0377833679979565
"124","norm_mix1","rfcont10","XZ",0.144142816272113
"125","norm_mix1","micePMM","X",0.545174898309276
"126","norm_mix1","micePMM","XZ",-0.412252649139952
"127","norm_mix1","missForest","X",-0.504005406819856
"128","norm_mix1","missForest","XZ",0.205989603397711
"129","norm_mix1","rfcont10","X",-0.20473663088006
"130","norm_mix1","rfcont10","XZ",0.182443270843216
"131","norm_mix1","micePMM","X",0.00297489405371005
"132","norm_mix1","micePMM","XZ",0.0764587976507631
"133","norm_mix1","missForest","X",-0.3093208691072
"134","norm_mix1","missForest","XZ",0.114167174401111
"135","norm_mix1","rfcont10","X",0.242085995260069
"136","norm_mix1","rfcont10","XZ",0.0709035195023353
"137","norm_mix1","micePMM","X",0.745620532882797
"138","norm_mix1","micePMM","XZ",-0.500590366777207
"139","norm_mix1","missForest","X",-0.257191982251432
"140","norm_mix1","missForest","XZ",0.0926138450194868
"141","norm_mix1","rfcont10","X",0.125225079006292
"142","norm_mix1","rfcont10","XZ",0.049212830107872
"143","norm_mix1","micePMM","X",0.420839660572637
"144","norm_mix1","micePMM","XZ",-0.315803398864953
"145","norm_mix1","missForest","X",-0.557856924875625
"146","norm_mix1","missForest","XZ",0.218983204852806
"147","norm_mix1","rfcont10","X",-0.0849020460767713
"148","norm_mix1","rfcont10","XZ",0.176028731948873
"149","norm_mix1","micePMM","X",0.351103295104785
"150","norm_mix1","micePMM","XZ",-0.280232064258184
"151","norm_mix1","missForest","X",-0.0755797740396141
"152","norm_mix1","missForest","XZ",0.0283193300107037
"153","norm_mix1","rfcont10","X",0.14622359186752
"154","norm_mix1","rfcont10","XZ",0.0355910647476482
"155","norm_mix1","micePMM","X",0.303671900890728
"156","norm_mix1","micePMM","XZ",-0.374447776195111
"157","norm_mix1","missForest","X",0.0019979801880234
"158","norm_mix1","missForest","XZ",0.00128341313808567
"159","norm_mix1","rfcont10","X",0.177621244066637
"160","norm_mix1","rfcont10","XZ",0.0280587354951885
"161","norm_mix1","micePMM","X",0.106164299357124
"162","norm_mix1","micePMM","XZ",-0.323435475649713
"163","norm_mix1","missForest","X",-0.163602677718237
"164","norm_mix1","missForest","XZ",0.0718769025057954
"165","norm_mix1","rfcont10","X",0.0658815539813837
"166","norm_mix1","rfcont10","XZ",0.0690223678191793
"167","norm_mix1","micePMM","X",0.444566555253201
"168","norm_mix1","micePMM","XZ",-0.279041650889539
"169","norm_mix1","missForest","X",-0.0726391297977981
"170","norm_mix1","missForest","XZ",0.0366147603394095
"171","norm_mix1","rfcont10","X",0.716650211969679
"172","norm_mix1","rfcont10","XZ",-0.0869263021466589
"173","norm_mix1","micePMM","X",0.203355563425885
"174","norm_mix1","micePMM","XZ",-0.309612893385737
"175","norm_mix1","missForest","X",-0.151471611878814
"176","norm_mix1","missForest","XZ",0.0807730959211135
"177","norm_mix1","rfcont10","X",0.208106145550631
"178","norm_mix1","rfcont10","XZ",0.119239950844739
"179","norm_mix1","micePMM","X",0.349179214776016
"180","norm_mix1","micePMM","XZ",-0.342181833421877
"181","norm_mix1","missForest","X",-0.10705586808849
"182","norm_mix1","missForest","XZ",0.0631452397501038
"183","norm_mix1","rfcont10","X",0.649033730293338
"184","norm_mix1","rfcont10","XZ",-0.0351698522954539
"185","norm_mix1","micePMM","X",0.23191943869532
"186","norm_mix1","micePMM","XZ",-0.343457571658612
"187","norm_mix1","missForest","X",-0.246798540707783
"188","norm_mix1","missForest","XZ",0.0835859893118435
"189","norm_mix1","rfcont10","X",0.248853424816236
"190","norm_mix1","rfcont10","XZ",0.0285412573368213
"191","norm_mix1","micePMM","X",-0.129828364056987
"192","norm_mix1","micePMM","XZ",-0.249479044054891
"193","norm_mix1","missForest","X",-0.0800953413665896
"194","norm_mix1","missForest","XZ",0.0350580130754558
"195","norm_mix1","rfcont10","X",0.260800120287465
"196","norm_mix1","rfcont10","XZ",0.0304843555805944
"197","norm_mix1","micePMM","X",0.188563593033976
"198","norm_mix1","micePMM","XZ",-0.361615615905457
"199","norm_mix1","missForest","X",-0.147621683844002
"200","norm_mix1","missForest","XZ",0.086358231168166
"201","norm_mix1","rfcont10","X",0.221382386029184
"202","norm_mix1","rfcont10","XZ",0.0683990911232829
"203","norm_mix1","micePMM","X",0.310521950716431
"204","norm_mix1","micePMM","XZ",-0.336948479547498
"205","norm_mix1","missForest","X",-0.418816192905757
"206","norm_mix1","missForest","XZ",0.143284734688719
"207","norm_mix1","rfcont10","X",0.263301157529447
"208","norm_mix1","rfcont10","XZ",0.0607632294985336
"209","norm_mix1","micePMM","X",0.604644913681537
"210","norm_mix1","micePMM","XZ",-0.320235922022991
"211","norm_mix1","missForest","X",-0.149679000049866
"212","norm_mix1","missForest","XZ",0.0870506374107388
